index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
129,0x15290,0x15450,448,6.7601,0x00000002,0x0002,02000000ffff0000,1afc4eaa90a83448,0
130,0x15450,0x15670,544,6.9565,0x00000002,0x0002,02000000ffff0000,25d18dfb9675f92d,0
131,0x15670,0x15820,432,6.3401,0x00000002,0x0002,02000000ffff0000,15dd2bdfaa31e96b,0
132,0x15820,0x15B80,864,7.4427,0x00000003,0x0003,03000000ffff0000,92da1632ce739e5b,0
133,0x15B80,0x15D90,528,6.9588,0x00000003,0x0003,03000000ffff0000,e9d218c478352631,0
134,0x15D90,0x16010,640,7.1087,0x00000003,0x0003,03000000ffff0000,c59471ebf0df3573,0
135,0x16010,0x163F0,992,7.4438,0x00000003,0x0003,03000000ffff0000,b10949d118bcd61e,0
136,0x163F0,0x165C0,464,6.6795,0x00000003,0x0003,03000000ffff0000,3896ec90c9c185e0,0
137,0x165C0,0x16760,416,6.5876,0x00000003,0x0003,03000000ffff0000,dbc237e91f01da0c,0
138,0x16760,0x168E0,384,6.3361,0x00000002,0x0002,02000000ffff0000,22554a0cda25ddc9,0
139,0x168E0,0x16A40,352,6.5037,0x00000002,0x0002,02000000ffff0000,a11265c221060ada,0
140,0x16A40,0x16A5C,28,1.5060,0x00000002,0x0002,02000000ffff0000,cfc41af694cb4743,0
